outcome,dropped_tag_1,dropped_tag_2,coef,pval
one_shot_365d,multithreading,regex,0.029333780720289585,4.556979768903896e-05
one_shot_365d,multithreading,sql,0.030546626175644458,6.510131989601177e-07
one_shot_365d,numpy,pandas,0.027985673007253197,0.00026135000857549067
one_shot_365d,numpy,python,0.023339417505853405,0.025204963187257005
one_shot_365d,numpy,regex,0.030072657544963806,3.086269615653949e-05
one_shot_365d,numpy,sql,0.03131885839266176,3.180089188938147e-07
one_shot_365d,pandas,python,0.024039889167400436,0.023563374025085612
one_shot_365d,pandas,regex,0.030937818441756436,2.0535068746882406e-05
one_shot_365d,pandas,sql,0.032244496990986325,1.1088123455780299e-07
one_shot_365d,python,regex,0.026098635246945657,0.012784265612149844
one_shot_365d,python,sql,0.027851326075798037,0.0024432495128261776
one_shot_365d,regex,sql,0.03473572619171525,3.2823949418812067e-12
one_shot_365d,__summary__,__summary__,1.0,0.925
