primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_share_365d,established_total_share_365d,high_post,exposure_post
android,2023-04,40,1,-0.5824723369899437,0,798,0.47368421052631576,0.10902255639097744,0.5827067669172933,0,-0.5824723369899437
android,2023-05,41,1,-0.5824723369899437,0,745,0.49530201342281877,0.11140939597315436,0.6067114093959731,0,-0.5824723369899437
android,2023-06,42,1,-0.5824723369899437,0,760,0.5223684210526316,0.11710526315789474,0.6394736842105263,0,-0.5824723369899437
android,2023-07,43,1,-0.5824723369899437,0,748,0.4839572192513369,0.10828877005347594,0.5922459893048129,0,-0.5824723369899437
android,2023-08,44,1,-0.5824723369899437,0,782,0.4424552429667519,0.10997442455242967,0.5524296675191815,0,-0.5824723369899437
android,2023-09,45,1,-0.5824723369899437,0,705,0.46808510638297873,0.10070921985815603,0.5687943262411348,0,-0.5824723369899437
android,2023-10,46,1,-0.5824723369899437,0,720,0.45416666666666666,0.10416666666666667,0.5583333333333333,0,-0.5824723369899437
android,2023-11,47,1,-0.5824723369899437,0,613,0.4551386623164764,0.09135399673735727,0.5464926590538336,0,-0.5824723369899437
android,2023-12,48,1,-0.5824723369899437,0,546,0.4468864468864469,0.1043956043956044,0.5512820512820513,0,-0.5824723369899437
android,2024-01,49,1,-0.5824723369899437,0,692,0.4393063583815029,0.08815028901734104,0.5274566473988439,0,-0.5824723369899437
android,2024-02,50,1,-0.5824723369899437,0,636,0.4591194968553459,0.08018867924528301,0.539308176100629,0,-0.5824723369899437
android,2024-03,51,1,-0.5824723369899437,0,617,0.4538087520259319,0.07617504051863858,0.5299837925445705,0,-0.5824723369899437
android,2024-04,52,1,-0.5824723369899437,0,529,0.42533081285444235,0.07561436672967864,0.500945179584121,0,-0.5824723369899437
android,2024-05,53,1,-0.5824723369899437,0,628,0.4171974522292994,0.054140127388535034,0.4713375796178344,0,-0.5824723369899437
android,2024-06,54,1,-0.5824723369899437,0,482,0.45020746887966806,0.043568464730290454,0.49377593360995853,0,-0.5824723369899437
android,2024-07,55,1,-0.5824723369899437,0,503,0.441351888667992,0.07157057654075547,0.5129224652087475,0,-0.5824723369899437
android,2024-08,56,1,-0.5824723369899437,0,490,0.39183673469387753,0.05918367346938776,0.45102040816326533,0,-0.5824723369899437
