user_id,event_month,direct_ai_events,ask_events,answer_events,question_comment_events,answer_comment_events,distinct_questions,distinct_answers,distinct_tools,high_tag_event_share,mean_exposure_index,first_direct_ai_month,event_month_index,first_direct_ai_month_index,months_since_first_direct_ai,cumulative_direct_ai_events,repeat_direct_ai_month
435093.0,2025-03,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2025-03,662,662,0,1,0
436035.0,2020-11,2,1,1,0,0,1,1,1,0.0,-2.067518990036933,2020-11,610,610,0,2,0
441757.0,2022-12,2,0,0,0,2,1,1,1,1.0,0.484762784788476,2022-12,635,635,0,2,0
441874.0,2023-12,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-12,647,647,0,1,0
442351.0,2023-07,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-07,642,642,0,1,0
445468.0,2023-06,1,1,0,0,0,1,0,0,0.0,0.6785814699695615,2023-06,641,641,0,1,0
446594.0,2024-05,2,0,0,0,2,2,2,1,0.5,-0.20009726071253636,2024-05,652,652,0,2,0
446594.0,2025-08,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2024-05,667,652,15,3,1
455796.0,2024-04,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2024-04,651,651,0,1,0
466862.0,2023-08,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-08,643,643,0,1,0
467460.0,2024-12,1,1,0,0,0,1,0,1,0.0,-0.8269317640104322,2024-12,659,659,0,1,0
467875.0,2025-01,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2025-01,660,660,0,1,0
471136.0,2023-11,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-11,646,646,0,1,0
471272.0,2023-06,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2023-06,641,641,0,1,0
471272.0,2023-07,4,0,0,0,4,4,4,2,1.0,0.4561794360800556,2023-06,642,641,1,5,1
472270.0,2023-09,1,0,0,0,1,1,1,0,1.0,0.8127371844006236,2023-09,644,644,0,1,0
499990.0,2025-05,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2025-05,664,664,0,1,0
506796.0,2023-03,1,0,1,0,0,1,1,1,0.0,-0.5824723369899437,2023-03,638,638,0,1,0
506796.0,2023-04,1,0,0,1,0,1,0,1,0.0,-0.5824723369899437,2023-03,639,638,1,2,1
515954.0,2023-05,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-05,640,640,0,1,0
521097.0,2024-01,1,0,1,0,0,1,1,1,0.0,-0.5824723369899437,2024-01,648,648,0,1,0
521624.0,2024-08,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2024-08,655,655,0,1,0
522444.0,2023-11,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-11,646,646,0,1,0
523612.0,2023-11,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-11,646,646,0,1,0
527965.0,2023-02,1,0,0,0,1,1,1,1,1.0,1.657307329678494,2023-02,637,637,0,1,0
533912.0,2023-01,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-01,636,636,0,1,0
544825.0,2023-02,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2023-02,637,637,0,1,0
557362.0,2024-11,1,1,0,0,0,1,0,1,1.0,0.8127371844006236,2024-11,658,658,0,1,0
562267.0,2023-12,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-12,647,647,0,1,0
583187.0,2023-11,2,2,0,0,0,1,0,2,1.0,0.3704293899547944,2023-11,646,646,0,2,0
584420.0,2024-07,1,0,0,1,0,1,0,1,1.0,1.657307329678494,2024-07,654,654,0,1,0
597858.0,2024-04,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2024-04,651,651,0,1,0
609290.0,2025-07,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2025-07,666,666,0,1,0
610569.0,2023-06,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-06,641,641,0,1,0
610569.0,2024-08,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-06,655,641,14,2,1
610569.0,2025-01,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-06,660,641,19,3,1
634919.0,2025-07,1,0,1,0,0,1,1,1,0.0,-1.0198880283282128,2025-07,666,666,0,1,0
651174.0,2024-04,1,1,0,0,0,1,0,1,1.0,0.8127371844006236,2024-04,651,651,0,1,0
674039.0,2024-05,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2024-05,652,652,0,1,0
675750.0,2024-05,1,0,0,1,0,1,0,1,0.0,-0.5824723369899437,2024-05,652,652,0,1,0
678342.0,2024-03,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2024-03,650,650,0,1,0
679553.0,2025-03,1,1,0,0,0,1,0,1,0.0,-0.8269317640104322,2025-03,662,662,0,1,0
683329.0,2024-04,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2024-04,651,651,0,1,0
687137.0,2025-04,1,0,0,1,0,1,0,1,1.0,0.5121987286806099,2025-04,663,663,0,1,0
695364.0,2023-01,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-01,636,636,0,1,0
702846.0,2023-04,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-04,639,639,0,1,0
702977.0,2023-08,1,1,0,0,0,1,0,1,0.0,-2.067518990036933,2023-08,643,643,0,1,0
712999.0,2024-07,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2024-07,654,654,0,1,0
722036.0,2025-03,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2025-03,662,662,0,1,0
726730.0,2025-10,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2025-10,669,669,0,1,0
740553.0,2023-05,2,0,0,2,0,1,0,1,1.0,0.484762784788476,2023-05,640,640,0,2,0
743464.0,2023-01,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-01,636,636,0,1,0
753632.0,2023-02,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-02,637,637,0,1,0
765091.0,2023-06,1,0,0,1,0,1,0,0,1.0,0.3704293899547944,2023-06,641,641,0,1,0
765091.0,2023-12,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2023-06,647,641,6,2,1
770765.0,2023-03,2,1,1,0,0,1,1,2,1.0,0.484762784788476,2023-03,638,638,0,2,0
775345.0,2023-06,1,0,1,0,0,1,1,1,1.0,0.484762784788476,2023-06,641,641,0,1,0
823859.0,2024-02,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2024-02,649,649,0,1,0
828896.0,2023-04,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2023-04,639,639,0,1,0
