event_month,repeat_flag,events,avg_exposure,high_tag_share,residual_complexity_share,high_exposure_share,repeat_label
2024-11,0,47,0.25385731601234884,0.7872340425531915,0.7872340425531915,0.7872340425531915,first
2024-11,1,4,0.3990127386632148,1.0,1.0,1.0,repeat
2024-12,0,35,0.009875983798950034,0.6857142857142857,0.6857142857142857,0.6857142857142857,first
2024-12,1,8,0.13601621776161907,0.75,0.75,0.75,repeat
2025-01,0,51,0.09079256872976345,0.7450980392156863,0.7450980392156863,0.7647058823529411,first
2025-01,1,5,0.41616274788826707,1.0,1.0,1.0,repeat
2025-02,0,40,0.1671789450466184,0.825,0.825,0.825,first
2025-02,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2025-03,0,46,0.291468851421786,0.8695652173913043,0.8695652173913043,0.8695652173913043,first
2025-03,1,1,0.484762784788476,1.0,1.0,1.0,repeat
2025-04,0,31,0.02952618327682709,0.7096774193548387,0.7096774193548387,0.7096774193548387,first
2025-05,0,28,0.2658665981208115,0.8571428571428571,0.8571428571428571,0.8571428571428571,first
2025-05,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2025-06,0,22,0.25840829839338625,0.8181818181818182,0.8181818181818182,0.8181818181818182,first
2025-06,1,5,0.13095715916174908,0.8,0.8,0.8,repeat
2025-07,0,28,0.13164364388655395,0.75,0.75,0.75,first
2025-07,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2025-08,0,17,-0.127772715353828,0.6470588235294118,0.6470588235294118,0.6470588235294118,first
2025-08,1,4,0.3990127386632148,1.0,1.0,1.0,repeat
2025-09,0,14,-0.2943240781873621,0.5714285714285714,0.5714285714285714,0.5714285714285714,first
2025-10,0,17,0.34985624235356066,0.8823529411764706,0.8823529411764706,0.8823529411764706,first
2025-10,1,4,0.3704293899547944,1.0,1.0,1.0,repeat
2025-11,0,16,0.030902157494138133,0.625,0.625,0.625,first
2025-11,1,1,-0.5824723369899437,0.0,0.0,0.0,repeat
2025-12,0,12,-0.18894509056911968,0.5,0.5,0.5,first
2025-12,1,1,-2.067518990036933,0.0,0.0,0.0,repeat
