primary_tag,month_id,any_answer_7d_num,any_answer_7d_denom,first_positive_answer_latency_sum,first_positive_answer_latency_denom,accepted_cond_any_answer_30d_num,accepted_cond_any_answer_30d_denom,any_answer_7d_rate,first_positive_answer_latency_mean,accepted_cond_any_answer_30d_rate,time_index,high_post,exposure_post,first_answer_1d_rate_closure,first_answer_1d_denom_closure,accepted_vote_30d_rate,accepted_vote_30d_denom,brand_new_platform_share,low_tenure_existing_share,established_cross_tag_share
android,2021-01,3151,4709,1349935.5078452777,1966,1490,3327,0.669144191972818,686.6406448856957,0.44785091674180943,13.0,0,-0.0,0.5901465279252496,4709.0,0.1966447228710979,4709.0,0.1378205128205128,0.2192307692307692,0.642948717948718
android,2021-02,2630,4075,1436337.4146275,1577,1234,2791,0.645398773006135,910.8036871448954,0.4421354353278395,14.0,0,-0.0,0.5639263803680982,4075.0,0.1862576687116564,4075.0,0.1534090909090909,0.1910511363636363,0.6555397727272727
android,2021-03,2917,4483,1310771.152528611,1830,1345,3092,0.6506803479812625,716.2683893598967,0.434993531694696,15.0,0,-0.0,0.5587776042828463,4483.0,0.1900513049297345,4483.0,0.1553784860557769,0.2038512616201859,0.6407702523240372
android,2021-04,2811,4335,1170710.1543230556,1755,1392,2965,0.6484429065743945,667.0713130045901,0.4694772344013491,16.0,0,-0.0,0.5727797001153403,4335.0,0.1944636678200692,4335.0,0.1655960028551035,0.1870092790863669,0.6473947180585297
android,2021-05,2769,4346,1482728.1567180555,1808,1329,2950,0.6371375977910723,820.0930070343227,0.4505084745762712,17.0,0,-0.0,0.5508513575701794,4346.0,0.1976530142659917,4346.0,0.1864077669902912,0.174757281553398,0.6388349514563106
android,2021-06,2812,4292,921107.2228655556,1762,1353,2995,0.6551724137931034,522.7623285275571,0.45175292153589314,18.0,0,-0.0,0.57618825722274,4292.0,0.1943150046598322,4292.0,0.1724372029871011,0.1873727087576374,0.6401900882552614
android,2021-07,2718,4106,1185150.0577922221,1709,1252,2870,0.6619581100828057,693.4757506098432,0.4362369337979094,19.0,0,-0.0,0.573307355090112,4106.0,0.1972722844617633,4106.0,0.1723896285914506,0.1857042747021723,0.641906096706377
android,2021-08,2591,4087,1306130.1109958333,1764,1210,2758,0.6339613408367996,740.4365708593159,0.43872371283538797,20.0,0,-0.0,0.5532175189625642,4087.0,0.1881575727917788,4087.0,0.2043165467625899,0.1992805755395683,0.5964028776978417
android,2021-09,2495,3960,986501.8647302778,1610,1168,2663,0.6300505050505051,612.7340774722222,0.4386030792339467,21.0,0,-0.0,0.5434343434343434,3960.0,0.1931818181818181,3960.0,0.1814285714285714,0.1821428571428571,0.6364285714285715
android,2021-10,2232,3530,927542.0834975,1411,1036,2390,0.6322946175637394,657.3650485453579,0.43347280334728033,22.0,0,-0.0,0.5439093484419264,3530.0,0.1949008498583569,3530.0,0.1931150293870696,0.1872376154492023,0.6196473551637279
android,2021-11,2293,3630,902921.1008211111,1442,1076,2432,0.6316804407713499,626.158877129758,0.44243421052631576,23.0,0,-0.0,0.5479338842975207,3630.0,0.1925619834710744,3630.0,0.188951160928743,0.1529223378702962,0.6581265012009607
android,2021-12,2075,3370,790248.1131491667,1323,934,2198,0.615727002967359,597.3152782684556,0.4249317561419472,24.0,0,-0.0,0.5287833827893175,3370.0,0.1833827893175074,3370.0,0.1863084922010398,0.181109185441941,0.6325823223570191
