specification,outcome,break_month,coef_level,pval_level,coef_slope,pval_slope,directional_coef
durability_return_365d,rate,2022-08,-0.0066489316936089535,0.02356851113016022,-0.0010710410258359903,9.246539594373116e-05,0.0010710410258359903
durability_return_365d,rate,2022-09,-0.007034938042633817,0.029283586574996308,-0.001031006116735878,0.00012342752341091529,0.001031006116735878
durability_return_365d,rate,2022-10,-0.00943912769365928,0.001152318012963926,-0.0009382217677760556,0.0003111635600206001,0.0009382217677760556
durability_return_365d,rate,2022-11,-0.01158982604714657,5.4721342131873925e-06,-0.0008276197404472766,0.0020267866116921943,0.0008276197404472766
durability_return_365d,rate,2022-12,-0.015855857505004973,1.7073438334570188e-06,-0.0006164402139124281,0.021072065091134424,0.0006164402139124281
durability_one_shot_365d,rate,2020-07,-0.010952588279912523,0.11467466322017826,0.00014706328472150048,0.9494513378680778,0.00014706328472150048
durability_one_shot_365d,rate,2020-08,-0.01114919149874151,0.06648153546405765,0.0003054150895476555,0.8659993503388106,0.0003054150895476555
durability_one_shot_365d,rate,2020-09,-0.008789464234868143,0.13542150137040337,0.0007529704372955519,0.6095252200855485,0.0007529704372955519
durability_one_shot_365d,rate,2020-10,-0.006067316026582363,0.3056739833935106,0.0011012318280867876,0.37541096868433066,0.0011012318280867876
durability_one_shot_365d,rate,2020-11,-0.00588404788912129,0.22968058081243226,0.0010884022228703225,0.24349487632529843,0.0010884022228703225
durability_one_shot_365d,rate,2020-12,-0.003132329367871504,0.4988222212444512,0.0013027491905114028,0.10353958447272,0.0013027491905114028
durability_one_shot_365d,rate,2021-01,-0.004319480774693134,0.14494455400474066,0.0011430052307570056,0.05994142245185916,0.0011430052307570056
durability_one_shot_365d,rate,2021-02,-0.005366850319113446,0.1266498346269984,0.0010410319359088545,0.048801022723468625,0.0010410319359088545
durability_one_shot_365d,rate,2021-03,-0.008137543439845414,0.00916805810658703,0.0008666472386881828,0.027864402449581622,0.0008666472386881828
