primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_high_intensity_share_365d,established_repeat_low_intensity_share_365d,established_repeat_total_share_365d,high_post,exposure_post
bash,2022-12,36,1,0.4267372425853595,1,134,0.6044776119402985,0.029850746268656716,0.08208955223880597,0.11194029850746269,1,0.4267372425853595
bash,2023-01,37,1,0.4267372425853595,1,163,0.6441717791411042,0.006134969325153374,0.03067484662576687,0.03680981595092025,1,0.4267372425853595
bash,2023-02,38,1,0.4267372425853595,1,112,0.6160714285714286,0.0,0.07142857142857142,0.07142857142857142,1,0.4267372425853595
bash,2023-03,39,1,0.4267372425853595,1,110,0.7272727272727273,0.0,0.045454545454545456,0.045454545454545456,1,0.4267372425853595
bash,2023-04,40,1,0.4267372425853595,1,84,0.6309523809523809,0.0,0.09523809523809523,0.09523809523809523,1,0.4267372425853595
bash,2023-05,41,1,0.4267372425853595,1,102,0.6372549019607843,0.0,0.06862745098039216,0.06862745098039216,1,0.4267372425853595
bash,2023-06,42,1,0.4267372425853595,1,92,0.6739130434782609,0.0,0.06521739130434782,0.06521739130434782,1,0.4267372425853595
bash,2023-07,43,1,0.4267372425853595,1,83,0.6626506024096386,0.0,0.04819277108433735,0.04819277108433735,1,0.4267372425853595
bash,2023-08,44,1,0.4267372425853595,1,82,0.6585365853658537,0.012195121951219513,0.024390243902439025,0.03658536585365854,1,0.4267372425853595
bash,2023-09,45,1,0.4267372425853595,1,84,0.6904761904761905,0.0,0.047619047619047616,0.047619047619047616,1,0.4267372425853595
bash,2023-10,46,1,0.4267372425853595,1,83,0.6385542168674698,0.024096385542168676,0.04819277108433735,0.07228915662650603,1,0.4267372425853595
bash,2023-11,47,1,0.4267372425853595,1,71,0.6338028169014085,0.014084507042253521,0.04225352112676056,0.056338028169014086,1,0.4267372425853595
bash,2023-12,48,1,0.4267372425853595,1,66,0.6666666666666666,0.015151515151515152,0.030303030303030304,0.045454545454545456,1,0.4267372425853595
bash,2024-01,49,1,0.4267372425853595,1,64,0.609375,0.0,0.0625,0.0625,1,0.4267372425853595
bash,2024-02,50,1,0.4267372425853595,1,68,0.6176470588235294,0.0,0.058823529411764705,0.058823529411764705,1,0.4267372425853595
bash,2024-03,51,1,0.4267372425853595,1,66,0.6212121212121212,0.015151515151515152,0.015151515151515152,0.030303030303030304,1,0.4267372425853595
bash,2024-04,52,1,0.4267372425853595,1,69,0.5942028985507246,0.014492753623188406,0.014492753623188406,0.028985507246376812,1,0.4267372425853595
bash,2024-05,53,1,0.4267372425853595,1,85,0.5764705882352941,0.0,0.023529411764705882,0.023529411764705882,1,0.4267372425853595
bash,2024-06,54,1,0.4267372425853595,1,46,0.6521739130434783,0.0,0.043478260869565216,0.043478260869565216,1,0.4267372425853595
bash,2024-07,55,1,0.4267372425853595,1,45,0.6888888888888889,0.0,0.0,0.0,1,0.4267372425853595
bash,2024-08,56,1,0.4267372425853595,1,45,0.5777777777777777,0.0,0.022222222222222223,0.022222222222222223,1,0.4267372425853595
bash,2024-09,57,1,0.4267372425853595,1,55,0.6727272727272727,0.0,0.01818181818181818,0.01818181818181818,1,0.4267372425853595
bash,2024-10,58,1,0.4267372425853595,1,41,0.6341463414634146,0.0,0.04878048780487805,0.04878048780487805,1,0.4267372425853595
bash,2024-11,59,1,0.4267372425853595,1,47,0.8085106382978723,0.0,0.0,0.0,1,0.4267372425853595
bash,2024-12,60,1,0.4267372425853595,1,28,0.4642857142857143,0.0,0.03571428571428571,0.03571428571428571,1,0.4267372425853595
docker,2020-01,1,0,-2.067518990036933,0,681,0.4977973568281938,0.10572687224669604,0.20411160058737152,0.30983847283406757,0,-0.0
docker,2020-02,2,0,-2.067518990036933,0,680,0.5808823529411765,0.061764705882352944,0.19558823529411765,0.25735294117647056,0,-0.0
docker,2020-03,3,0,-2.067518990036933,0,641,0.592823712948518,0.046801872074883,0.1809672386895476,0.22776911076443057,0,-0.0
docker,2020-04,4,0,-2.067518990036933,0,745,0.5986577181208054,0.038926174496644296,0.17583892617449665,0.21476510067114093,0,-0.0
docker,2020-05,5,0,-2.067518990036933,0,791,0.5853350189633375,0.02402022756005057,0.17825537294563842,0.202275600505689,0,-0.0
docker,2020-06,6,0,-2.067518990036933,0,790,0.6139240506329114,0.024050632911392405,0.1569620253164557,0.1810126582278481,0,-0.0
docker,2020-07,7,0,-2.067518990036933,0,683,0.5973645680819912,0.02635431918008785,0.15666178623718888,0.18301610541727673,0,-0.0
docker,2020-08,8,0,-2.067518990036933,0,641,0.6006240249609984,0.0202808112324493,0.1294851794071763,0.1497659906396256,0,-0.0
docker,2020-09,9,0,-2.067518990036933,0,640,0.63125,0.009375,0.1359375,0.14531249999999998,0,-0.0
docker,2020-10,10,0,-2.067518990036933,0,624,0.6298076923076923,0.011217948717948718,0.1282051282051282,0.1394230769230769,0,-0.0
docker,2020-11,11,0,-2.067518990036933,0,611,0.6333878887070377,0.01800327332242226,0.11783960720130933,0.13584288052373159,0,-0.0
docker,2020-12,12,0,-2.067518990036933,0,594,0.6481481481481481,0.020202020202020204,0.09090909090909091,0.11111111111111112,0,-0.0
docker,2021-01,13,0,-2.067518990036933,0,659,0.6358118361153262,0.012139605462822459,0.11380880121396054,0.125948406676783,0,-0.0
docker,2021-02,14,0,-2.067518990036933,0,654,0.6590214067278287,0.010703363914373088,0.11467889908256881,0.1253822629969419,0,-0.0
docker,2021-03,15,0,-2.067518990036933,0,702,0.6381766381766382,0.01282051282051282,0.10398860398860399,0.1168091168091168,0,-0.0
docker,2021-04,16,0,-2.067518990036933,0,666,0.6366366366366366,0.013513513513513514,0.11261261261261261,0.12612612612612611,0,-0.0
docker,2021-05,17,0,-2.067518990036933,0,690,0.6434782608695652,0.005797101449275362,0.10144927536231885,0.10724637681159421,0,-0.0
docker,2021-06,18,0,-2.067518990036933,0,596,0.6610738255033557,0.015100671140939598,0.09060402684563758,0.10570469798657718,0,-0.0
docker,2021-07,19,0,-2.067518990036933,0,593,0.6526138279932546,0.00505902192242833,0.09274873524451939,0.09780775716694771,0,-0.0
docker,2021-08,20,0,-2.067518990036933,0,661,0.6308623298033282,0.006051437216338881,0.11346444780635401,0.11951588502269289,0,-0.0
docker,2021-09,21,0,-2.067518990036933,0,598,0.637123745819398,0.008361204013377926,0.10702341137123746,0.11538461538461538,0,-0.0
docker,2021-10,22,0,-2.067518990036933,0,605,0.6462809917355372,0.006611570247933884,0.10909090909090909,0.11570247933884296,0,-0.0
docker,2021-11,23,0,-2.067518990036933,0,556,0.6294964028776978,0.0035971223021582736,0.11510791366906475,0.11870503597122303,0,-0.0
docker,2021-12,24,0,-2.067518990036933,0,601,0.6239600665557404,0.004991680532445923,0.1264559068219634,0.1314475873544093,0,-0.0
docker,2022-01,25,0,-2.067518990036933,0,645,0.6961240310077519,0.006201550387596899,0.08062015503875969,0.08682170542635659,0,-0.0
docker,2022-02,26,0,-2.067518990036933,0,593,0.6340640809443507,0.01011804384485666,0.10623946037099494,0.1163575042158516,0,-0.0
docker,2022-03,27,0,-2.067518990036933,0,591,0.6311336717428088,0.00676818950930626,0.1065989847715736,0.11336717428087986,0,-0.0
docker,2022-04,28,0,-2.067518990036933,0,605,0.6495867768595042,0.0049586776859504135,0.08099173553719008,0.0859504132231405,0,-0.0
docker,2022-05,29,0,-2.067518990036933,0,631,0.6465927099841522,0.009508716323296355,0.07606973058637084,0.0855784469096672,0,-0.0
docker,2022-06,30,0,-2.067518990036933,0,662,0.6329305135951662,0.0075528700906344415,0.0891238670694864,0.09667673716012085,0,-0.0
docker,2022-07,31,0,-2.067518990036933,0,630,0.6333333333333333,0.012698412698412698,0.10952380952380952,0.12222222222222222,0,-0.0
docker,2022-08,32,0,-2.067518990036933,0,685,0.6291970802919709,0.00145985401459854,0.10072992700729927,0.10218978102189781,0,-0.0
docker,2022-09,33,0,-2.067518990036933,0,711,0.6427566807313643,0.004219409282700422,0.08579465541490858,0.090014064697609,0,-0.0
docker,2022-10,34,0,-2.067518990036933,0,639,0.6353677621283255,0.006259780907668232,0.07668231611893583,0.08294209702660407,0,-0.0
docker,2022-11,35,0,-2.067518990036933,0,638,0.664576802507837,0.007836990595611285,0.0768025078369906,0.08463949843260188,0,-0.0
docker,2022-11,35,1,-2.067518990036933,0,23,0.6086956521739131,0.0,0.043478260869565216,0.043478260869565216,0,-2.067518990036933
docker,2022-12,36,1,-2.067518990036933,0,584,0.6797945205479452,0.008561643835616438,0.07363013698630137,0.0821917808219178,0,-2.067518990036933
docker,2023-01,37,1,-2.067518990036933,0,632,0.6424050632911392,0.004746835443037975,0.08386075949367089,0.08860759493670886,0,-2.067518990036933
docker,2023-02,38,1,-2.067518990036933,0,597,0.6649916247906198,0.005025125628140704,0.06532663316582915,0.07035175879396985,0,-2.067518990036933
docker,2023-03,39,1,-2.067518990036933,0,660,0.6424242424242425,0.004545454545454545,0.07878787878787878,0.08333333333333333,0,-2.067518990036933
docker,2023-04,40,1,-2.067518990036933,0,518,0.6853281853281853,0.0019305019305019305,0.0694980694980695,0.07142857142857142,0,-2.067518990036933
docker,2023-05,41,1,-2.067518990036933,0,484,0.6983471074380165,0.004132231404958678,0.0640495867768595,0.06818181818181818,0,-2.067518990036933
docker,2023-06,42,1,-2.067518990036933,0,464,0.6831896551724138,0.0,0.04741379310344827,0.04741379310344827,0,-2.067518990036933
docker,2023-07,43,1,-2.067518990036933,0,484,0.628099173553719,0.004132231404958678,0.08264462809917356,0.08677685950413223,0,-2.067518990036933
docker,2023-08,44,1,-2.067518990036933,0,505,0.6732673267326733,0.0019801980198019802,0.06336633663366337,0.06534653465346535,0,-2.067518990036933
docker,2023-09,45,1,-2.067518990036933,0,427,0.6323185011709602,0.00468384074941452,0.10304449648711944,0.10772833723653397,0,-2.067518990036933
docker,2023-10,46,1,-2.067518990036933,0,445,0.6606741573033708,0.0044943820224719105,0.06741573033707865,0.07191011235955055,0,-2.067518990036933
docker,2023-11,47,1,-2.067518990036933,0,410,0.6317073170731707,0.0024390243902439024,0.08780487804878048,0.09024390243902439,0,-2.067518990036933
docker,2023-12,48,1,-2.067518990036933,0,359,0.6211699164345403,0.002785515320334262,0.06406685236768803,0.06685236768802229,0,-2.067518990036933
docker,2024-01,49,1,-2.067518990036933,0,449,0.6169265033407573,0.0066815144766146995,0.0378619153674833,0.044543429844097995,0,-2.067518990036933
docker,2024-02,50,1,-2.067518990036933,0,407,0.6265356265356266,0.004914004914004914,0.0687960687960688,0.07371007371007371,0,-2.067518990036933
docker,2024-03,51,1,-2.067518990036933,0,376,0.6276595744680851,0.0,0.034574468085106384,0.034574468085106384,0,-2.067518990036933
docker,2024-04,52,1,-2.067518990036933,0,371,0.5902964959568733,0.0026954177897574125,0.04851752021563342,0.05121293800539083,0,-2.067518990036933
docker,2024-05,53,1,-2.067518990036933,0,405,0.5654320987654321,0.0024691358024691358,0.03209876543209877,0.034567901234567905,0,-2.067518990036933
docker,2024-06,54,1,-2.067518990036933,0,298,0.5973154362416108,0.0,0.06375838926174497,0.06375838926174497,0,-2.067518990036933
docker,2024-07,55,1,-2.067518990036933,0,320,0.615625,0.0,0.025,0.025,0,-2.067518990036933
docker,2024-08,56,1,-2.067518990036933,0,312,0.6474358974358975,0.0,0.028846153846153848,0.028846153846153848,0,-2.067518990036933
docker,2024-09,57,1,-2.067518990036933,0,254,0.6535433070866141,0.003937007874015748,0.01968503937007874,0.023622047244094488,0,-2.067518990036933
docker,2024-10,58,1,-2.067518990036933,0,245,0.6285714285714286,0.004081632653061225,0.02857142857142857,0.0326530612244898,0,-2.067518990036933
docker,2024-11,59,1,-2.067518990036933,0,203,0.5517241379310345,0.0,0.03940886699507389,0.03940886699507389,0,-2.067518990036933
docker,2024-12,60,1,-2.067518990036933,0,195,0.5948717948717949,0.0,0.03076923076923077,0.03076923076923077,0,-2.067518990036933
excel,2020-01,1,0,0.5121987286806099,1,679,0.36082474226804123,0.21944035346097202,0.18851251840942562,0.40795287187039764,0,0.0
excel,2020-02,2,0,0.5121987286806099,1,473,0.4503171247357294,0.07610993657505286,0.15010570824524314,0.226215644820296,0,0.0
excel,2020-03,3,0,0.5121987286806099,1,444,0.43018018018018017,0.06306306306306306,0.15090090090090091,0.21396396396396397,0,0.0
excel,2020-04,4,0,0.5121987286806099,1,405,0.41975308641975306,0.05925925925925926,0.145679012345679,0.20493827160493827,0,0.0
excel,2020-05,5,0,0.5121987286806099,1,442,0.4230769230769231,0.033936651583710405,0.14479638009049775,0.17873303167420815,0,0.0
excel,2020-06,6,0,0.5121987286806099,1,444,0.44819819819819817,0.02927927927927928,0.12387387387387387,0.15315315315315314,0,0.0
excel,2020-07,7,0,0.5121987286806099,1,445,0.42921348314606744,0.04943820224719101,0.12134831460674157,0.1707865168539326,0,0.0
excel,2020-08,8,0,0.5121987286806099,1,333,0.43543543543543545,0.02702702702702703,0.16816816816816818,0.1951951951951952,0,0.0
excel,2020-09,9,0,0.5121987286806099,1,353,0.45609065155807366,0.025495750708215296,0.14730878186968838,0.17280453257790368,0,0.0
excel,2020-10,10,0,0.5121987286806099,1,306,0.4803921568627451,0.026143790849673203,0.11764705882352941,0.1437908496732026,0,0.0
excel,2020-11,11,0,0.5121987286806099,1,268,0.40671641791044777,0.029850746268656716,0.11940298507462686,0.14925373134328357,0,0.0
excel,2020-12,12,0,0.5121987286806099,1,288,0.5173611111111112,0.024305555555555556,0.09027777777777778,0.11458333333333333,0,0.0
excel,2021-01,13,0,0.5121987286806099,1,381,0.48031496062992124,0.01837270341207349,0.11286089238845144,0.13123359580052493,0,0.0
excel,2021-02,14,0,0.5121987286806099,1,298,0.5134228187919463,0.020134228187919462,0.087248322147651,0.10738255033557047,0,0.0
excel,2021-03,15,0,0.5121987286806099,1,323,0.46439628482972134,0.04024767801857585,0.09597523219814241,0.13622291021671826,0,0.0
excel,2021-04,16,0,0.5121987286806099,1,290,0.4586206896551724,0.017241379310344827,0.08620689655172414,0.10344827586206898,0,0.0
excel,2021-05,17,0,0.5121987286806099,1,311,0.43086816720257237,0.028938906752411574,0.1157556270096463,0.14469453376205788,0,0.0
excel,2021-06,18,0,0.5121987286806099,1,269,0.4758364312267658,0.011152416356877323,0.11524163568773234,0.12639405204460966,0,0.0
excel,2021-07,19,0,0.5121987286806099,1,252,0.44841269841269843,0.031746031746031744,0.0873015873015873,0.11904761904761904,0,0.0
excel,2021-08,20,0,0.5121987286806099,1,290,0.4517241379310345,0.010344827586206896,0.10344827586206896,0.11379310344827587,0,0.0
excel,2021-09,21,0,0.5121987286806099,1,267,0.49812734082397003,0.033707865168539325,0.10486891385767791,0.13857677902621723,0,0.0
excel,2021-10,22,0,0.5121987286806099,1,241,0.4896265560165975,0.029045643153526972,0.08713692946058091,0.11618257261410789,0,0.0
excel,2021-11,23,0,0.5121987286806099,1,284,0.4964788732394366,0.0035211267605633804,0.11619718309859155,0.11971830985915492,0,0.0
excel,2021-12,24,0,0.5121987286806099,1,226,0.45132743362831856,0.004424778761061947,0.084070796460177,0.08849557522123894,0,0.0
excel,2022-01,25,0,0.5121987286806099,1,273,0.4725274725274725,0.029304029304029304,0.08424908424908426,0.11355311355311357,0,0.0
excel,2022-02,26,0,0.5121987286806099,1,249,0.4538152610441767,0.020080321285140562,0.10040160642570281,0.12048192771084337,0,0.0
excel,2022-03,27,0,0.5121987286806099,1,252,0.4603174603174603,0.003968253968253968,0.0873015873015873,0.09126984126984126,0,0.0
excel,2022-04,28,0,0.5121987286806099,1,223,0.47085201793721976,0.017937219730941704,0.09865470852017937,0.11659192825112107,0,0.0
excel,2022-05,29,0,0.5121987286806099,1,245,0.4204081632653061,0.02040816326530612,0.12244897959183673,0.14285714285714285,0,0.0
excel,2022-06,30,0,0.5121987286806099,1,249,0.4497991967871486,0.020080321285140562,0.1285140562248996,0.14859437751004015,0,0.0
excel,2022-07,31,0,0.5121987286806099,1,267,0.41198501872659177,0.018726591760299626,0.07116104868913857,0.0898876404494382,0,0.0
excel,2022-08,32,0,0.5121987286806099,1,322,0.48757763975155277,0.009316770186335404,0.07142857142857142,0.08074534161490683,0,0.0
excel,2022-09,33,0,0.5121987286806099,1,218,0.44495412844036697,0.0,0.05963302752293578,0.05963302752293578,0,0.0
excel,2022-10,34,0,0.5121987286806099,1,232,0.4482758620689655,0.02586206896551724,0.08189655172413793,0.10775862068965517,0,0.0
excel,2022-11,35,0,0.5121987286806099,1,259,0.4671814671814672,0.019305019305019305,0.05791505791505792,0.07722007722007722,0,0.0
excel,2022-11,35,1,0.5121987286806099,1,13,0.5384615384615384,0.07692307692307693,0.0,0.07692307692307693,1,0.5121987286806099
